DE MARCHI, Omar Bruno;OTROS;Mendoza;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;2;9;1;1;2;2;2;2;2;2;1;2;2;1;1;1;0;0;0;2;0;0
DE NARVAEZ, Francisco;PF;Buenos Aires;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;1;1;0;1;1;1;1;2;2;2;2;2;2;1;0;2;2;2;2
de PRAT GAY, Alfonso;CC;Cdad. Aut. Bs. As.;0;1;2;1;1;1;1;1;0;9;0;2;1;1;1;1;1;1;1;1;9;1;1;1;0;1;9;2;2;1;1;1;2;2;2;2;2;2;2;2;2
del CAMPILLO, Héctor Eduardo;UCR;Córdoba;1;1;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;9;2;1;1;0;1;1;1;1;2;1;1;1;2;2;2;2;2;2;1;2
DEPETRI, Edgardo Fernando;FPV;Buenos Aires;0;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2
di TULLIO, Juliana;FPV;Buenos Aires;0;1;1;1;1;2;2;2;2;2;2;2;1;1;1;9;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
DIAZ BANCALARI, José María;FPV;Buenos Aires;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
DIAZ ROIG, Juan Carlos;FPV;Formosa;0;2;1;1;1;1;2;1;1;1;1;1;1;1;1;1;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2
DIAZ, Susana Eladia;FPV;Tucumán;0;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;;;;;;;;;
DONDA PEREZ, Victoria Analía;OTROS;Buenos Aires;0;1;9;1;0;1;1;1;2;2;2;2;1;2;1;1;1;1;1;1;1;2;1;2;2;1;9;1;1;2;1;1;2;2;2;2;2;2;2;2;2
DONKIN, Carlos Guillermo;FPV;Formosa;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;9;9;1;1;1
DUTTO, Gustavo Alberto;FPV;Buenos Aires;0;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;2;2;2;2
ERRO, Norberto Pedro;UCR;Buenos Aires;1;1;2;1;1;1;1;1;1;1;9;1;1;1;1;1;1;1;1;1;1;2;1;1;0;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2
ESPINDOLA, Gladys Susana;UCR;Córdoba;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;0;1;1;1;1;2;1;1;1;1;2;2;2;2;2;2;2
FADEL, Patricia Susana;FPV;Mendoza;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;;1;1;1;2;2;2;2;2;2;2;2
